"t","xc","xc_up","xc_down","yc","yc_up","yc_down"
0.04798478923438356,-0.6698983046430901,-0.6387986745328099,-0.6998863986024657,0.011604696035806788,0.5297333303081748,-0.4880052889484248
0.048000258218662856,-0.6765591960984627,-0.6454468121072479,-0.7065550840961874,0.011651846425073364,0.5307038652198571,-0.488775127372621
0.04801572720294215,-0.6832183161814834,-0.6520935325838042,-0.7132219982175569,0.011698791335147106,0.5316744001315393,-0.4895454972085228
0.04803119618722145,-0.6898760191666223,-0.6587372417273621,-0.7198889123389265,0.011745695503656749,0.5326445807687511,-0.49031604418165986
0.048046665171500746,-0.6965321279166444,-0.6653804194592143,-0.7265529922645327,0.011792447334144116,0.5336136985825517,-0.49108641401756165
0.048062134155780055,-0.7031864652943145,-0.6720235971910666,-0.7332138837199056,0.011838975971715127,0.5345828163963523,-0.4918571381279339
0.04807760314005935,-0.7098392084368679,-0.6786630550409796,-0.7398751294497486,0.011885440839881465,0.5355524656218585,-0.4926289250617173
0.04809307212433865,-0.7164903573443043,-0.6852996786951293,-0.7465360209051213,0.011931795882961978,0.5365217605728944,-0.4934007119955008
0.048108541108617946,-0.7231397348793887,-0.6919355938003382,-0.7531942553019657,0.011977922419009076,0.5374905241122245,-0.4941730303409898
0.04812401009289724,-0.7297875181793563,-0.6985690289842542,-0.7598517811498695,0.01202395861506622,0.5384601733377308,-0.49494658864712526
0.04813947907717654,-0.7364335301069718,-0.7051992756979366,-0.766508952723303,0.012069923956229281,0.5394296454260017,-0.49572050122773115
0.048154948061455836,-0.7430779477994705,-0.7118272196275612,-0.77316488433609,0.012115671418593044,0.5403991175142727,-0.4964951223572779
0.04817041704573514,-0.749720594119617,-0.7184528607731284,-0.7798199302627008,0.012161294884892163,0.5413694752887197,-0.4972711605847062
0.04818588603001443,-0.7563614690674116,-0.725075490585697,-0.786474267640371,0.012206868752765426,0.5423396559259316,-0.4980479073610754
0.04820135501429374,-0.7630005726428543,-0.7316961718886784,-0.7931271879201593,0.012252254855169372,0.543309482288673,-0.4988248312746797
0.04821682399857303,-0.7696379048459449,-0.7383147275448373,-0.7997786911020662,0.012297493933668099,0.5442805486120609,-0.4996033494234009
0.04823229298285234,-0.7762734656766833,-0.7449302718679977,-0.8064296628722675,0.012342688727858025,0.545251969209919,-0.5003827532582982
