"x","y","Mx","My","Mz"
1.590742946817689,-3.346045508823415,0.010412940131623312,0.02995837362349669,-6.845706918001682e-10
1.700449356943047,-3.346045508823415,0.010493144051599044,0.028816540794747346,-6.575848390116823e-10
1.8101557670684048,-3.346045508823415,0.009987672573658131,0.026109987085073946,-5.979032997871503e-10
1.9198621771937627,-3.346045508823415,0.008996548223758151,0.022319268426183335,-5.155014713709161e-10
2.0295685873191207,-3.346045508823415,0.007692451906351119,0.01804441862923279,-4.2269412275919294e-10
2.1392749974444785,-3.346045508823415,0.006270739313523789,0.013846048321598267,-3.310403383707805e-10
2.248981407569836,-3.346045508823415,0.004902183044487145,0.010131225967173746,-2.490943276298174e-10
2.358687817695194,-3.346045508823415,0.003703736975190771,0.007111574700884154,-1.8152538760335402e-10
2.468394227820552,-3.346045508823415,0.0027318076098068102,0.004825526622519181,-1.2948291440786908e-10
2.57810063794591,-3.346045508823415,0.001992836181796136,0.0031955888560116917,-9.167873578352914e-11
2.6878070480712677,-3.346045508823415,0.0014617640449351337,0.0020900576020087616,-6.560831348687013e-11
2.7975134581966254,-3.346045508823415,0.0011001199969953054,0.001369925754361506,-4.852641812685965e-11
2.9072198683219836,-3.346045508823415,0.0008692840219997388,0.0009153120702894709,-3.8046243672901214e-11
3.0169262784473414,-3.346045508823415,0.0007381483037206233,0.0006348152862938623,-3.241293350256594e-11
3.126632688572699,-3.346045508823415,0.0006865309653410703,0.0004644045078729722,-3.057745907603798e-11
3.236339098698057,-3.346045508823415,0.0007062764819266371,0.0003617278851221936,-3.21927582248166e-11
3.346045508823415,-3.346045508823415,0.0008015775350995049,0.00029955592370475555,-3.7613146267306136e-11
3.455751918948773,-3.346045508823415,0.0009892255104314073,0.0002600953513838463,-4.792809627906375e-11
-3.455751918948773,-3.236339098698057,0.0007226136036400078,0.0010642812848241322,-3.934109884650566e-11
-3.346045508823415,-3.236339098698057,0.0005795389901790866,0.0007167534572046563,-3.1562630818399856e-11
-3.236339098698057,-3.236339098698057,0.0005048551945901689,0.0005048582369338746,-2.7660920266531913e-11
-3.126632688572699,-3.236339098698057,0.0004857264950245174,0.00037796182554487834,-2.690126469024126e-11
-3.0169262784473414,-3.236339098698057,0.0005190586358616825,0.00030312015526794904,-2.9150611774702434e-11
-2.9072198683219836,-3.236339098698057,0.0006116460838842554,0.0002592565177525104,-3.4884741579796485e-11
-2.7975134581966254,-3.236339098698057,0.0007805412961338037,0.00023231330318856849,-4.5223931153734465e-11
-2.6878070480712677,-3.236339098698057,0.0010531953763268005,0.0002116161577627824,-6.196669186889908e-11
-2.57810063794591,-3.236339098698057,0.0014661544268060268,0.00018743553420033301,-8.754344666718483e-11
-2.468394227820552,-3.236339098698057,0.0020604799423866666,0.00014983473449734874,-1.2476871619204744e-10
-2.358687817695194,-3.236339098698057,0.00287203622150682,0.00008906870494815072,-1.7625943152937973e-10
-2.248981407569836,-3.236339098698057,0.003916022515467835,-2.253059923084527e-6,-2.4345451436064147e-10
-2.1392749974444785,-3.236339098698057,0.005168064512040914,-0.00012554665928932868,-3.2535224731358725e-10
-2.0295685873191207,-3.236339098698057,0.006548226582370666,-0.00027246588722044983,-4.1735163328754377e-10
-1.9198621771937627,-3.236339098698057,0.007917279946696328,-0.0004231887435335777,-5.108087113014914e-10
-1.8101557670684048,-3.236339098698057,0.009093365052056789,-0.0005490386917749879,-5.93894108370796e-10
-1.700449356943047,-3.236339098698057,0.009890078542989237,-0.0006200798950782948,-6.53922335551449e-10
-1.590742946817689,-3.236339098698057,0.010166116350354238,-0.000615460263554597,-6.806137927556355e-10
-1.4810365366923313,-3.236339098698057,0.009867999784744305,-0.0005319055922943542,-6.691226383734317e-10
-1.3713301265669733,-3.236339098698057,0.009047502788585005,-0.000385883091829188,-6.215586439636822e-10
-1.2616237164416155,-3.236339098698057,0.007845726143581058,-0.00020800271535960368,-5.463185407533766e-10
-1.1519173063162575,-3.236339098698057,0.0064508975997877695,-0.00003237058640034006,-4.5553055468341985e-10
-1.0422108961908998,-3.236339098698057,0.005047987719978767,0.00011395772181873156,-3.617236232766885e-10
-0.9325044860655419,-3.236339098698057,0.003779152869934674,0.00021703595947824314,-2.7501375851092524e-10
-0.8227980759401841,-3.236339098698057,0.0027257832566721972,0.0002762362120996715,-2.0163724943206285e-10
-0.7130916658148262,-3.236339098698057,0.0019117609268003294,0.0003002552609398967,-1.4392736362531938e-10
-0.6033852556894683,-3.236339098698057,0.001319819901094027,0.0003018565004944365,-1.012670040054578e-10
-0.4936788455641104,-3.236339098698057,0.0009112414655187762,0.0002937456265934628,-7.13736326984904e-11
-0.38397243543875254,-3.236339098698057,0.0006420131172958414,0.0002866110848455967,-5.1422495764546355e-11
